
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000253                       # Number of seconds simulated (Second)
simTicks                                    252795000                       # Number of ticks simulated (Tick)
finalTick                                   252795000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.05                       # Real time elapsed on the host (Second)
hostTickRate                                240278188                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     679576                       # Number of bytes of host memory used (Byte)
simInsts                                       186685                       # Number of instructions simulated (Count)
simOps                                         340665                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   177427                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     323769                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           505591                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.708257                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.369241                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          444008                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      500                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         414121                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    814                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               103837                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            171978                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 200                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              394386                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.050040                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.987545                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    278307     70.57%     70.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     25806      6.54%     77.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     18583      4.71%     81.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     17420      4.42%     86.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     16042      4.07%     90.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     12002      3.04%     93.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     13574      3.44%     96.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      7949      2.02%     98.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      4703      1.19%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                394386                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    5076     66.54%     66.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     66.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     66.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     66.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     66.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     66.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     66.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     66.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     66.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     66.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     66.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      1      0.01%     66.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     66.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     14      0.18%     66.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     66.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     24      0.31%     67.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     2      0.03%     67.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     67.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     67.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     67.08% # attempts to use FU when none available (Count)
